Type,Subcarrier Spacing,Symbol time,Subcarriers FFT,CP length,Average Received Power (mW),Threshold,SNR,Average Signal Power,Average Noise Power
Clean,976.562,0.001024,256,32,0.0288407,0,16.4836,-19.7822,-36.2658
Clean,488.281,0.002048,512,64,0.0253611,0,16.4835,-19.7824,-36.2658
Clean,3906.25,0.000256,64,32,0.231402,0,16.4464,-19.7807,-36.2271
Clean,488.281,0.002048,512,64,0.0237751,0,16.4548,-19.7837,-36.2385
Clean,244.141,0.004096,1024,64,0.0392577,0,16.3528,-19.7841,-36.1369
Clean,976.562,0.001024,256,64,0.233723,0,16.3477,-19.7827,-36.1304
Clean,488.281,0.002048,512,64,0.0228896,0,16.3345,-19.7837,-36.1182
Clean,488.281,0.002048,512,64,0.0211871,0,16.3438,-19.7867,-36.1305
Clean,488.281,0.002048,512,64,0.0413434,0,16.3425,-19.7869,-36.1293
Clean,488.281,0.002048,512,64,0.0210424,0,16.3286,-19.7862,-36.1148
Clean,488.281,0.002048,512,64,0.023309,0,16.3373,-19.7893,-36.1266
Clean,244.141,0.004096,1024,64,0.0656821,0,16.3303,-19.7887,-36.1191
Clean,976.562,0.001024,256,64,0.0239884,0,16.3348,-19.7904,-36.1252
Clean,488.281,0.002048,512,64,0.120768,0,16.3406,-19.7924,-36.133
Clean,488.281,0.002048,512,64,0.0245856,0,16.3373,-19.7926,-36.1299
Clean,488.281,0.002048,512,64,0.125597,0,16.248,-19.7937,-36.0417
Clean,976.562,0.001024,256,16,0.0283813,0,16.2525,-19.7954,-36.048
Clean,976.562,0.001024,256,64,0.0250026,0,16.2615,-19.7978,-36.0593
Clean,488.281,0.002048,512,64,0.022538,0,16.2564,-19.7969,-36.0534
Clean,244.141,0.004096,1024,64,0.0358605,0,16.2644,-19.7986,-36.063
Clean,488.281,0.002048,512,64,0.05874,0,16.2712,-19.7999,-36.0712
Clean,244.141,0.004096,1024,64,0.0308076,0,16.2758,-19.8001,-36.0759
Clean,976.562,0.001024,256,64,0.0336917,0,16.2841,-19.8012,-36.0853
Clean,976.562,0.001024,256,64,0.0261521,0,16.2884,-19.8022,-36.0906
Clean,488.281,0.002048,512,64,0.0301722,0,16.2918,-19.8022,-36.094
Clean,244.141,0.004096,1024,64,0.0347095,0,16.3005,-19.8035,-36.104
Clean,244.141,0.004096,1024,64,0.0416421,0,16.3045,-19.8045,-36.1089
Clean,244.141,0.004096,1024,64,0.0288341,0,16.2078,-19.8042,-36.012
Clean,244.141,0.004096,1024,64,0.0277567,0,16.2103,-19.8039,-36.0142
Clean,15625,6.40E-05,16,64,0.0308934,0,16.2156,-19.8053,-36.0209
Clean,244.141,0.004096,1024,64,0.0213555,0,16.2174,-19.8058,-36.0232
Clean,244.141,0.004096,1024,64,0.0232971,0,16.2264,-19.8087,-36.0352
Clean,976.562,0.001024,256,64,0.0221206,0,16.2354,-19.8115,-36.0469
Clean,244.141,0.004096,1024,64,0.020989,0,16.2393,-19.8129,-36.0522
Clean,244.141,0.004096,1024,64,0.0240803,0,16.241,-19.8134,-36.0544
Clean,488.281,0.002048,512,64,0.0242958,0,16.2499,-19.8164,-36.0663
